Entity,Code,Year,CO2 mitigation curves to meet a 1.5C target
Historical,,1850,2717041000
Historical,,1851,2733435000
Historical,,1852,2760245000
Historical,,1853,2788877000
Historical,,1854,2836878000
Historical,,1855,2849409000
Historical,,1856,2881320000
Historical,,1857,2908238800
Historical,,1858,2932658000
Historical,,1859,2960075000
Historical,,1860,2882419200
Historical,,1861,2865017900
Historical,,1862,2856137000
Historical,,1863,2871880000
Historical,,1864,2893999000
Historical,,1865,2921172000
Historical,,1866,2921889000
Historical,,1867,2946944000
Historical,,1868,2954758000
Historical,,1869,2986048000
Historical,,1870,3251873000
Historical,,1871,3393199900
Historical,,1872,3526413800
Historical,,1873,3638166800
Historical,,1874,3652106000
Historical,,1875,3759901000
Historical,,1876,3815043000
Historical,,1877,3866092000
Historical,,1878,3903910000
Historical,,1879,3975047200
Historical,,1880,4065177000
Historical,,1881,4145073000
Historical,,1882,4229086000
Historical,,1883,4329299000
Historical,,1884,4373441000
Historical,,1885,4410697700
Historical,,1886,4440402000
Historical,,1887,4506260000
Historical,,1888,4637974000
Historical,,1889,4658803000
Historical,,1890,4885135400
Historical,,1891,5043126300
Historical,,1892,5111186000
Historical,,1893,5135068700
Historical,,1894,5226014000
Historical,,1895,5349363700
Historical,,1896,5428233000
Historical,,1897,5538568000
Historical,,1898,5643671000
Historical,,1899,5813436000
Historical,,1900,6053521400
Historical,,1901,6226141700
Historical,,1902,6343285000
Historical,,1903,6592015000
Historical,,1904,6667272000
Historical,,1905,6854428700
Historical,,1906,7003636700
Historical,,1907,7376654300
Historical,,1908,7275637000
Historical,,1909,7421955000
Historical,,1910,7476471000
Historical,,1911,7507427300
Historical,,1912,7612327000
Historical,,1913,7852900000
Historical,,1914,7455626000
Historical,,1915,7374724000
Historical,,1916,7590376000
Historical,,1917,7728275000
Historical,,1918,7676414000
Historical,,1919,7213321000
Historical,,1920,7894786000
Historical,,1921,7572951000
Historical,,1922,7808740400
Historical,,1923,8282990600
Historical,,1924,8329590000
Historical,,1925,8380347400
Historical,,1926,8338773500
Historical,,1927,8694154000
Historical,,1928,8711090000
Historical,,1929,9003256000
Historical,,1930,8907412000
Historical,,1931,8634591000
Historical,,1932,8374579000
Historical,,1933,8645301000
Historical,,1934,9012561000
Historical,,1935,9261991000
Historical,,1936,9704859000
Historical,,1937,10041638000
Historical,,1938,9809198000
Historical,,1939,10057065000
Historical,,1940,10556953000
Historical,,1941,10763668000
Historical,,1942,10761571000
Historical,,1943,10910230000
Historical,,1944,10837807000
Historical,,1945,9948428000
Historical,,1946,10310255000
Historical,,1947,10776959000
Historical,,1948,10986811000
Historical,,1949,10633052000
Historical,,1950,11595249000
Historical,,1951,12234672000
Historical,,1952,12391385000
Historical,,1953,12673365000
Historical,,1954,12922786000
Historical,,1955,13665104000
Historical,,1956,14263379000
Historical,,1957,14624423000
Historical,,1958,14969282000
Historical,,1959,15489945000
Historical,,1960,15397863000
Historical,,1961,15135483000
Historical,,1962,15291398000
Historical,,1963,15624988000
