ACCT 1010	Accounting, Business and Society	3
ACCT 1610	Laws in Society and Business	3
ACCT 2010	Principles of Accounting I	3
ACCT 2200	Principles of Accounting II	3
ACCT 3010	Financial Accounting I	3
ACCT 3020	Financial Accounting II	3
ACCT 3030	Intermediate Financial Accounting for Non-Accounting Majors	3
ACCT 3210	Advanced Management Accounting	3
ACCT 3610	Business Law	3
ACCT 3630	ESG Measurement, Disclosure and Applications	3
ACCT 3880	Professional Excellence Program	1
ACCT 4010	Advanced Financial Accounting	3
ACCT 4410	Taxation	3
ACCT 4510	Auditing	3
ACCT 4610	Company Law	3
ACCT 4710	Accounting Analytics for Professional Accountants	3
ACCT 4720	Equity Investment with Machine Learning	3
ACCT 4980	Independent Study	1-4
AISC 2500	Special Topics (I)	1-4
AISC 3500	Special Topics (II)	1-4
AISC 4500	Special Topics (III)	1-4
AISC 4950	Interdisciplinary Special Project	0-4
BIBU 1010	Biotechnology and Business Seminar	1
BIBU 4820	Biotechnology Entrepreneurship and Business Operations	3
BIBU 4830	Biotechnology Management	3
BIBU 4840	Biotechnology and Business Capstone Project	3
BIBU 4850	Biotechnology and Business Project Research	6
BIEN 1010	Introduction to Biomedical Engineering	3
BIEN 2310	Modeling for Chemical and Biological Engineering	3
BIEN 2410	Cellular and Systems Physiology for Engineers	3
BIEN 2610	Chemical Biology for Engineers	3
BIEN 2990	Academic and Professional Development I	1
BIEN 3300	Data Science for Molecular Engineering	3
BIEN 3310	Data Science for Neural Engineering	3
BIEN 3320	Data Science for Biology and Medicine	3
BIEN 3410	Introduction to Bioinstrumentation and Bioimaging	3
BIEN 3910	Bioengineering Laboratory	4
BIEN 4000	Special Topics in Bioengineering	1-4
BIEN 4110	Regulatory Affairs in the Healthcare Industry	3
BIEN 4310	Statistical Signal Analysis and Applications in Neural Engineering	3
BIEN 4910	Independent Study	1-4
BIEN 4920	Bioengineering Capstone Design	6
BIEN 4930	Bioengineering Thesis Research	6
BIEN 4940	Bioengineering Industrial Project	6
BIEN 4990	Academic and Professional Development II	1
BIPH 3010	Advanced Biological Physics	3
BIPH 4010	Principles of Quantitative Instrumentation	3
CENG 1000	Introduction to Chemical and Biological Engineering	3
CENG 1010	Academic and Professional Development I	0
CENG 1500	A First Course on Materials Science and Applications	3
CENG 1600	Biotechnology and Its Business Opportunities	3
CENG 1700	Introduction to Environmental Engineering	3
CENG 1800	Introduction to Food Science and Technology	3
CENG 1980	Industrial Training	0
CENG 2110	Process and Product Design Principles	3
CENG 2210	Chemical and Biological Engineering Thermodynamics	3
CENG 2220	Transport Phenomena I	3
CENG 2310	Modeling for Chemical and Biological Engineering	3
CENG 3110	Process Dynamics and Control	3
CENG 3120	Process Design and Integration	3
CENG 3150	Integrated Chemical Process and Product Design	5
CENG 3210	Separation Processes	3
CENG 3220	Transport Phenomena II	3
CENG 3230	Chemical and Biological Reaction Engineering	3
CENG 3300	Data Science for Molecular Engineering	3
CENG 3950	Chemical and Environmental Engineering Laboratory	4
CENG 4000	Special Topics	3
CENG 4020	Academic and Professional Development II	0
CENG 4130	Plant Design and Economics	3
CENG 4140	Energy Resources, Conversions and Technologies	3
CENG 4160	Prototype Development for Chemical Processes and Products	3
CENG 4510	Nature Engineering and DNA Nanotechnology	3
CENG 4540	Nanomaterials and Applications in Chemical Engineering	3
CENG 4620	Bioproducts and Processing	3
CENG 4630	Food Processing Technology	3
CENG 4640	Biomolecular Engineering	3
CENG 4650	Biomaterials and Drug Delivery	3
CENG 4670	Pharmaceutical Engineering	3
CENG 4710	Environmental Control	3
CENG 4720	Environmental Impact Assessment and Management Systems	3
CENG 4920	Chemical Engineering Capstone Design	6
CENG 4930	Chemical Engineering Thesis Research	6
CENG 4940	Chemical Engineering Industrial Project	6
CENG 4950	Chem-E-Car	3
CENG 4980	Investigation Project	3
CHEM 1002	Introduction to Chemistry of Cosmetics	3
CHEM 1004	Chemistry in Everyday Life	3
CHEM 1008	Introductory Chemistry	3
CHEM 1010	General Chemistry IA	3
CHEM 1011	General Chemistry A: Reactions, Thermodynamics, and Reaction Kinetics	3
CHEM 1012	General Chemistry B: Atomic Structure, Molecules, and Bonding Theories	3
CHEM 1051	Laboratory for General Chemistry A	1
CHEM 1052	Laboratory for General Chemistry B	1
CHEM 2110	Organic Chemistry I	3
CHEM 2111	Fundamentals of Organic Chemistry	3
CHEM 2150	Organic Chemistry Laboratory	1
CHEM 2155	Fundamental Organic Chemistry Laboratory	1
CHEM 2210	Inorganic Chemistry I	3
CHEM 2250	Inorganic Chemistry Laboratory	1
CHEM 2310	Fundamentals of Analytical Chemistry	3
CHEM 2311	Analytical Chemistry	3
CHEM 2350	Analytical Chemistry Laboratory	1
CHEM 2355	Fundamental Analytical Chemistry Laboratory	1
CHEM 2409	Mathematical Methods for Physical Chemistry	4
CHEM 2410	Physical Chemistry I: Equilibrium Thermodynamics and Statistical Mechanics	3
CHEM 2450	Physical Chemistry Laboratory	1
CHEM 2550	Synthetic Chemistry Laboratory I	2
CHEM 2555	Molecular Characterization Chemistry Laboratory l	2
CHEM 3010	Great Ideas in Chemistry	3
CHEM 3020	Chemistry in the Mass Media	3
CHEM 3120	Organic Chemistry II	3
CHEM 3220	Inorganic Chemistry II	3
CHEM 3320	Instrumental Analysis	3
CHEM 3420	Physical Chemistry II	3
CHEM 3550	Synthetic Chemistry Laboratory II	2
CHEM 3555	Molecular Characterization Chemistry Laboratory II	2
CHEM 3610	Chemistry Internship	2-3
CHEM 3928	Chemistry Undergraduate Seminar	1
CHEM 4110	Structural Elucidation in Organic Chemistry	3
CHEM 4120	Biomolecular Chemistry	3
CHEM 4130	Medicinal Chemistry	3
CHEM 4140	Intermediate Organic Chemistry	3
CHEM 4150	Biomolecular Synthesis Laboratory	1
CHEM 4155	Biomolecular Characterization Laboratory	1
CHEM 4160	Cheminformatics	3
CHEM 4210	Solid State Chemistry	3
CHEM 4220	Materials Chemistry	3
CHEM 4230	Materials Characterization Method	3
CHEM 4240	Intermediate Inorganic Chemistry	3
CHEM 4250	Materials Preparation Laboratory	1
CHEM 4255	Materials Characterization Laboratory	1
CHEM 4310	Environmental Chemistry	3
CHEM 4320	Environmental Analytical Chemistry	3
CHEM 4330	Separation Science	3
CHEM 4340	Bioanalytical Techniques	3
CHEM 4350	Environmental Chemistry Laboratory	1
CHEM 4355	Instrumental Analytical Chemistry Laboratory	1
CHEM 4410	Physical Chemistry in Biological Applications	3
CHEM 4420	Statistical Machine Learning Methods for Chemical Data Analysis	3
CHEM 4430	Symmetry in Chemistry and Spectroscopy	3
CHEM 4550	Advanced Synthetic Laboratory	1
CHEM 4555	Advanced Molecular Characterization Laboratory	1
CHEM 4620	Organometallic Chemistry	3
CHEM 4640	Chemistry for Advanced Solar Cell Technologies	3
CHEM 4680	Undergraduate Research	3
CHEM 4688	Undergraduate Thesis	3
CHEM 4689	Capstone Project	3
CHEM 4691	Capstone Research I	3
CHEM 4692	Capstone Research II	3
CIVL 1010	Academic and Professional Development I	0
CIVL 1100	Discovering Civil and Environmental Engineering	3
CIVL 1140	Environment and Society: Sustainable Development Goals and Carbon Neutrality	3
CIVL 1160	Civil Engineering and Modern Society	3
CIVL 1180	Monitoring Changing Climate from Space	3
CIVL 1190	Climate Change, Big History and Sustainability	3
CIVL 1210	Fundamental of Green Buildings	3
CIVL 1220	Big Data for Smarter Cities	3
CIVL 2010	Academic and Professional Development II	0
CIVL 2020	Industrial and BIM Training	0
CIVL 2110	Statics	3
CIVL 2120	Mechanics of Materials	3
CIVL 2160	Modeling Systems with Uncertainties	3
CIVL 2170	Infrastructure Systems Engineering and Management	3
CIVL 2410	Environmental Assessment and Management	3
CIVL 2510	Fluid Mechanics	3
CIVL 2810	Construction Materials	3
CIVL 3010	Academic and Professional Development III	0
CIVL 3020	Internship Training	0
CIVL 3210	Introduction to Construction Management	3
CIVL 3310	Structural Analysis	3
